Parallel Framework,Type of Scaling,Number of Threads,Time in Microseconds,Technique,N
pthreads,weak,1,39651,Scatter,1000000
pthreads,weak,1,45539,Scatter,1000000
pthreads,weak,1,42021,Scatter,1000000
pthreads,weak,2,17288,Scatter,1000000
pthreads,weak,2,19912,Scatter,1000000
pthreads,weak,2,17473,Scatter,1000000
pthreads,weak,3,18785,Scatter,1000000
pthreads,weak,3,19912,Scatter,1000000
pthreads,weak,3,20896,Scatter,1000000
pthreads,weak,4,9964,Scatter,1000000
pthreads,weak,4,13072,Scatter,1000000
pthreads,weak,4,14210,Scatter,1000000
pthreads,weak,5,10021,Scatter,1000000
pthreads,weak,5,11074,Scatter,1000000
pthreads,weak,5,12488,Scatter,1000000
pthreads,weak,6,19064,Scatter,1000000
pthreads,weak,6,15946,Scatter,1000000
pthreads,weak,6,17091,Scatter,1000000
pthreads,weak,7,14328,Scatter,1000000
pthreads,weak,7,15920,Scatter,1000000
pthreads,weak,7,31609,Scatter,1000000
pthreads,weak,8,14822,Scatter,1000000
pthreads,weak,8,10946,Scatter,1000000
pthreads,weak,8,19278,Scatter,1000000
pthreads,weak,1,28916,Global,1000000
pthreads,weak,1,27825,Global,1000000
pthreads,weak,1,24097,Global,1000000
pthreads,weak,2,22857,Global,1000000
pthreads,weak,2,20005,Global,1000000
pthreads,weak,2,21087,Global,1000000
pthreads,weak,3,28443,Global,1000000
pthreads,weak,3,31800,Global,1000000
pthreads,weak,3,34297,Global,1000000
pthreads,weak,4,23866,Global,1000000
pthreads,weak,4,24440,Global,1000000
pthreads,weak,4,22094,Global,1000000
pthreads,weak,5,26802,Global,1000000
pthreads,weak,5,29430,Global,1000000
pthreads,weak,5,25742,Global,1000000
pthreads,weak,6,36164,Global,1000000
pthreads,weak,6,25445,Global,1000000
pthreads,weak,6,25939,Global,1000000
pthreads,weak,7,22221,Global,1000000
pthreads,weak,7,22645,Global,1000000
pthreads,weak,7,11049,Global,1000000
pthreads,weak,8,28471,Global,1000000
pthreads,weak,8,28187,Global,1000000
pthreads,weak,8,28033,Global,1000000
pthreads,strong,1,39651,Scatter,1000000
pthreads,strong,1,45539,Scatter,1000000
pthreads,strong,1,42021,Scatter,1000000
pthreads,strong,2,39023,Scatter,2000000
pthreads,strong,2,43476,Scatter,2000000
pthreads,strong,2,41544,Scatter,2000000
pthreads,strong,3,40925,Scatter,3000000
pthreads,strong,3,43185,Scatter,3000000
pthreads,strong,3,41903,Scatter,3000000
pthreads,strong,4,57165,Scatter,4000000
pthreads,strong,4,51698,Scatter,4000000
pthreads,strong,4,61810,Scatter,4000000
pthreads,strong,5,67487,Scatter,5000000
pthreads,strong,5,76612,Scatter,5000000
pthreads,strong,5,63098,Scatter,5000000
pthreads,strong,6,70788,Scatter,6000000
pthreads,strong,6,72993,Scatter,6000000
pthreads,strong,6,68235,Scatter,6000000
pthreads,strong,7,87100,Scatter,7000000
pthreads,strong,7,89938,Scatter,7000000
pthreads,strong,7,75233,Scatter,7000000
pthreads,strong,8,114300,Scatter,8000000
pthreads,strong,8,100512,Scatter,8000000
pthreads,strong,8,115356,Scatter,8000000
pthreads,strong,1,28916,Global,1000000
pthreads,strong,1,27825,Global,1000000
pthreads,strong,1,24097,Global,1000000
pthreads,strong,2,74673,Global,2000000
pthreads,strong,2,57892,Global,2000000
pthreads,strong,2,60493,Global,2000000
pthreads,strong,3,97605,Global,3000000
pthreads,strong,3,100635,Global,3000000
pthreads,strong,3,96916,Global,3000000
pthreads,strong,4,173629,Global,4000000
pthreads,strong,4,144187,Global,4000000
pthreads,strong,4,158286,Global,4000000
pthreads,strong,5,197116,Global,5000000
pthreads,strong,5,179836,Global,5000000
pthreads,strong,5,203232,Global,5000000
pthreads,strong,6,275020,Global,6000000
pthreads,strong,6,273211,Global,6000000
pthreads,strong,6,240631,Global,6000000
pthreads,strong,7,270950,Global,7000000
pthreads,strong,7,249539,Global,7000000
pthreads,strong,7,312515,Global,7000000
pthreads,strong,8,321322,Global,8000000
pthreads,strong,8,411836,Global,8000000
pthreads,strong,8,388110,Global,8000000
omp,weak,1,18746,Scatter,1000000
omp,weak,1,16416,Scatter,1000000
omp,weak,1,15773,Scatter,1000000
omp,weak,2,10062,Scatter,1000000
omp,weak,2,9405,Scatter,1000000
omp,weak,2,8690,Scatter,1000000
omp,weak,3,6864,Scatter,1000000
omp,weak,3,8003,Scatter,1000000
omp,weak,3,6480,Scatter,1000000
omp,weak,4,6116,Scatter,1000000
omp,weak,4,6984,Scatter,1000000
omp,weak,4,6055,Scatter,1000000
omp,weak,5,8460,Scatter,1000000
omp,weak,5,5043,Scatter,1000000
omp,weak,5,5515,Scatter,1000000
omp,weak,6,8144,Scatter,1000000
omp,weak,6,6243,Scatter,1000000
omp,weak,6,6108,Scatter,1000000
omp,weak,7,5575,Scatter,1000000
omp,weak,7,12546,Scatter,1000000
omp,weak,7,6057,Scatter,1000000
omp,weak,8,7220,Scatter,1000000
omp,weak,8,3702,Scatter,1000000
omp,weak,8,6079,Scatter,1000000
omp,strong,1,19633,Scatter,1000000
omp,strong,1,16847,Scatter,1000000
omp,strong,1,16030,Scatter,1000000
omp,strong,2,20427,Scatter,2000000
omp,strong,2,18440,Scatter,2000000
omp,strong,2,18284,Scatter,2000000
omp,strong,3,19600,Scatter,3000000
omp,strong,3,19617,Scatter,3000000
omp,strong,3,19487,Scatter,3000000
omp,strong,4,20926,Scatter,4000000
omp,strong,4,20094,Scatter,4000000
omp,strong,4,20244,Scatter,4000000
omp,strong,5,28080,Scatter,5000000
omp,strong,5,29843,Scatter,5000000
omp,strong,5,28879,Scatter,5000000
omp,strong,6,33278,Scatter,6000000
omp,strong,6,34051,Scatter,6000000
omp,strong,6,32449,Scatter,6000000
omp,strong,7,35620,Scatter,7000000
omp,strong,7,36230,Scatter,7000000
omp,strong,7,38125,Scatter,7000000
omp,strong,8,47677,Scatter,8000000
omp,strong,8,43049,Scatter,8000000
omp,strong,8,46132,Scatter,8000000
omp,weak,1,2899536,Global,1000000
omp,weak,1,2771410,Global,1000000
omp,weak,1,2873764,Global,1000000
omp,weak,2,2145022,Global,1000000
omp,weak,2,2056135,Global,1000000
omp,weak,2,2067468,Global,1000000
omp,weak,3,1707970,Global,1000000
omp,weak,3,1638481,Global,1000000
omp,weak,3,1702155,Global,1000000
omp,weak,4,1400000,Global,1000000
omp,weak,4,1392000,Global,1000000
omp,weak,4,1400000,Global,1000000
omp,weak,5,1143000,Global,1000000
omp,weak,5,1132000,Global,1000000
omp,weak,5,1165000,Global,1000000
omp,weak,6,954600,Global,1000000
omp,weak,6,977000,Global,1000000
omp,weak,6,957000,Global,1000000
omp,weak,7,830000,Global,1000000
omp,weak,7,839000,Global,1000000
omp,weak,7,824000,Global,1000000
omp,weak,8,877000,Global,1000000
omp,weak,8,822000,Global,1000000
omp,weak,8,822000,Global,1000000
omp,strong,1,2899536,Global,1000000
omp,strong,1,2771410,Global,1000000
omp,strong,1,2873764,Global,1000000
omp,strong,2,2796000,Global,2000000
omp,strong,2,2807000,Global,2000000
omp,strong,2,2808000,Global,2000000
omp,strong,3,2793000,Global,3000000
omp,strong,3,2799000,Global,3000000
omp,strong,3,2827000,Global,3000000
omp,strong,4,2874000,Global,4000000
omp,strong,4,2844000,Global,4000000
omp,strong,4,2840000,Global,4000000
omp,strong,5,2881000,Global,5000000
omp,strong,5,2894000,Global,5000000
omp,strong,5,2889000,Global,5000000
omp,strong,6,2917000,Global,6000000
omp,strong,6,3039000,Global,6000000
omp,strong,6,2922000,Global,6000000
omp,strong,7,2900000,Global,7000000
omp,strong,7,2898000,Global,7000000
omp,strong,7,2908000,Global,7000000
omp,strong,8,2933000,Global,8000000
omp,strong,8,2930000,Global,8000000
omp,strong,8,2992000,Global,8000000